tempbeta	mu	density	err	doublon	err	
4.7170e+00	1.7628e+00	1.9988e+00	4.6445e-06	9.9882e-01	4.6445e-06	
4.7170e+00	1.8030e+00	1.9990e+00	1.9292e-06	9.9902e-01	1.9292e-06	
4.7170e+00	1.8432e+00	1.9992e+00	1.3340e-06	9.9919e-01	1.3340e-06	
4.7170e+00	1.8834e+00	1.9993e+00	4.7075e-07	9.9933e-01	4.7075e-07	
4.7170e+00	1.9236e+00	1.9994e+00	4.1248e-07	9.9944e-01	4.1248e-07	
4.7170e+00	1.9638e+00	1.9995e+00	9.6212e-07	9.9954e-01	9.6212e-07	
4.7170e+00	2.0040e+00	1.9996e+00	1.2556e-06	9.9962e-01	1.2556e-06	
4.7170e+00	2.0442e+00	1.9997e+00	9.2468e-07	9.9968e-01	9.2468e-07	
4.7170e+00	2.0844e+00	1.9997e+00	9.5064e-07	9.9974e-01	9.5064e-07	
4.7170e+00	2.1246e+00	1.9998e+00	8.4212e-07	9.9978e-01	8.4212e-07	
4.7170e+00	2.1648e+00	1.9998e+00	6.3172e-07	9.9982e-01	6.3172e-07	
4.7170e+00	2.2050e+00	1.9999e+00	5.3114e-07	9.9985e-01	5.3114e-07	
4.7170e+00	2.2452e+00	1.9999e+00	5.1521e-07	9.9988e-01	5.1521e-07	
4.7170e+00	2.2854e+00	1.9999e+00	4.5403e-07	9.9990e-01	4.5403e-07	
4.7170e+00	2.3256e+00	1.9997e+00	3.5983e-06	9.9975e-01	3.5983e-06	
4.7170e+00	2.3658e+00	1.9999e+00	3.2879e-07	9.9993e-01	3.2879e-07	
4.7170e+00	2.4060e+00	1.9999e+00	3.0192e-07	9.9994e-01	3.0192e-07	
4.7170e+00	2.4462e+00	2.0000e+00	2.3786e-07	9.9995e-01	2.3786e-07	
4.7170e+00	2.4864e+00	2.0000e+00	1.9300e-07	9.9996e-01	1.9300e-07	
4.7170e+00	2.5266e+00	2.0000e+00	1.6519e-07	9.9997e-01	1.6519e-07	
4.7170e+00	2.5668e+00	2.0000e+00	1.3350e-07	9.9997e-01	1.3350e-07	
4.7170e+00	2.6070e+00	2.0000e+00	1.1379e-07	9.9998e-01	1.1379e-07	
4.7170e+00	2.6472e+00	2.0000e+00	1.0160e-07	9.9998e-01	1.0160e-07	
4.7170e+00	2.6874e+00	2.0000e+00	8.6676e-08	9.9998e-01	8.6676e-08	
4.7170e+00	2.7276e+00	2.0000e+00	7.2479e-08	9.9999e-01	7.2479e-08	
4.7170e+00	2.7678e+00	2.0000e+00	6.0030e-08	9.9999e-01	6.0030e-08	
4.7170e+00	2.8080e+00	2.0000e+00	5.1201e-08	9.9999e-01	5.1201e-08	
4.7170e+00	2.8482e+00	2.0000e+00	4.2312e-08	9.9999e-01	4.2312e-08	
4.7170e+00	2.8884e+00	2.0000e+00	3.5639e-08	9.9999e-01	3.5639e-08	
4.7170e+00	2.9286e+00	2.0000e+00	2.9498e-08	1.0000e+00	2.9498e-08	
4.7170e+00	2.9688e+00	2.0000e+00	2.3925e-08	1.0000e+00	2.3925e-08	
4.7170e+00	3.0090e+00	2.0000e+00	1.9785e-08	1.0000e+00	1.9785e-08	
3.9526e+00	-3.0210e+00	2.7379e-05	1.0937e-07	4.5074e-11	4.6112e-15	
3.9526e+00	-2.9808e+00	3.2113e-05	1.2275e-07	6.1935e-11	5.9905e-15	
3.9526e+00	-2.9406e+00	3.7633e-05	1.4118e-07	8.5103e-11	7.7955e-15	
3.9526e+00	-2.9004e+00	4.4132e-05	1.7272e-07	1.1694e-10	1.0697e-14	
3.9526e+00	-2.8602e+00	5.1726e-05	2.0612e-07	1.6068e-10	1.4791e-14	
3.9526e+00	-2.8200e+00	6.0663e-05	2.4838e-07	2.2079e-10	2.1675e-14	
3.9526e+00	-2.7798e+00	4.2378e-04	1.1423e-05	9.0470e-09	9.0677e-11	
3.9526e+00	-2.7396e+00	5.0696e-04	8.3163e-06	1.2560e-08	1.2078e-10	
3.9526e+00	-2.6994e+00	9.7626e-05	3.5051e-07	5.7279e-10	6.0465e-14	
3.9526e+00	-2.6592e+00	1.1447e-04	4.0513e-07	7.8706e-10	7.9146e-14	
3.9526e+00	-2.6190e+00	1.3429e-04	4.2162e-07	1.0815e-09	1.0418e-13	
3.9526e+00	-2.5788e+00	1.5735e-04	4.4237e-07	1.4860e-09	1.5068e-13	
3.9526e+00	-2.5386e+00	1.8441e-04	5.7641e-07	2.0418e-09	2.3178e-13	
3.9526e+00	-2.4984e+00	2.1611e-04	5.8368e-07	2.8056e-09	3.0333e-13	
3.9526e+00	-2.4582e+00	2.5299e-04	7.5887e-07	3.8548e-09	3.2495e-13	
3.9526e+00	-2.4180e+00	2.9648e-04	8.9193e-07	5.2966e-09	4.4644e-13	
3.9526e+00	-2.3778e+00	3.4787e-04	9.1509e-07	7.2779e-09	7.0356e-13	
3.9526e+00	-2.3376e+00	4.0791e-04	1.2018e-06	9.9997e-09	1.0755e-12	
3.9526e+00	-2.2974e+00	4.7760e-04	1.1571e-06	1.3739e-08	1.7180e-12	
3.9526e+00	-2.2572e+00	5.5945e-04	7.3806e-07	1.8876e-08	1.6743e-12	
3.9526e+00	-2.2170e+00	6.5522e-04	1.0548e-06	2.5935e-08	2.3726e-12	
3.9526e+00	-2.1768e+00	7.6695e-04	1.0699e-06	3.5630e-08	1.7790e-12	
3.9526e+00	-2.1366e+00	9.0033e-04	1.3036e-06	4.8953e-08	3.2160e-12	
3.9526e+00	-2.0964e+00	1.0528e-03	1.6969e-06	6.7251e-08	4.6204e-12	
3.9526e+00	-2.0562e+00	1.2312e-03	2.3085e-06	9.2386e-08	7.0813e-12	
3.9526e+00	-2.0160e+00	1.4443e-03	4.0090e-06	1.2692e-07	1.1191e-11	
3.9526e+00	-1.9758e+00	1.6957e-03	3.8211e-06	1.7437e-07	1.7645e-11	
3.9526e+00	-1.9356e+00	1.9824e-03	5.1393e-06	2.3950e-07	1.8149e-11	
3.9526e+00	-1.8954e+00	2.3167e-03	1.0639e-05	3.2895e-07	5.0921e-11	
3.9526e+00	-1.8552e+00	2.7269e-03	1.4805e-05	4.5188e-07	8.0064e-11	
3.9526e+00	-1.8150e+00	3.1950e-03	1.0548e-05	6.2062e-07	9.7153e-11	
3.9526e+00	-1.7748e+00	1.2873e-02	2.4517e-05	1.9738e-05	1.1686e-07	
3.9526e+00	-1.7346e+00	4.3977e-03	1.8470e-05	1.1703e-06	5.2698e-11	
3.9526e+00	-1.6944e+00	5.1007e-03	1.9312e-05	1.6067e-06	1.6880e-10	
3.9526e+00	-1.6542e+00	6.0010e-03	2.1534e-05	2.2059e-06	2.5929e-10	
3.9526e+00	-1.6140e+00	2.2766e-02	1.7418e-05	5.7771e-05	3.8540e-07	
3.9526e+00	-1.5738e+00	8.2786e-03	2.2690e-05	4.1553e-06	3.6611e-10	
3.9526e+00	-1.5336e+00	9.5632e-03	4.9166e-05	5.6999e-06	7.2804e-10	
3.9526e+00	-1.4934e+00	1.1241e-02	9.4388e-06	7.8190e-06	3.5768e-10	
3.9526e+00	-1.4532e+00	1.3065e-02	5.9844e-05	1.0721e-05	8.3839e-10	
3.9526e+00	-1.4130e+00	1.5402e-02	2.8773e-05	1.4700e-05	9.7990e-10	
3.9526e+00	-1.3728e+00	1.8049e-02	8.2356e-05	2.0140e-05	1.1007e-09	
3.9526e+00	-1.3326e+00	2.1154e-02	8.3711e-05	2.7584e-05	1.5977e-09	
3.9526e+00	-1.2924e+00	2.4630e-02	1.5068e-04	3.7758e-05	2.9337e-09	
3.9526e+00	-1.2522e+00	2.8805e-02	6.8925e-05	5.1657e-05	3.5412e-09	
3.9526e+00	-1.2120e+00	3.3755e-02	7.0427e-05	7.0603e-05	3.6850e-09	
3.9526e+00	-1.1718e+00	3.9174e-02	1.1437e-04	9.6438e-05	5.3230e-09	
3.9526e+00	-1.1316e+00	4.5344e-02	1.4762e-04	1.3159e-04	1.4431e-08	
3.9526e+00	-1.0914e+00	5.3154e-02	5.7791e-05	1.7934e-04	3.9990e-08	
