"tempβ"	"μ"	"density"	"err"	"doublon"	"err"	"int_energy"	"err"	"kinetic_energy"	"err"	"total_energy"	"err"
5.	-2.8158100000000013	0.000018447677000000003	3.4450630999999996e-7	5.609742899999999e-12	5.4462409000000004e-14	4.8079534999999995e-12	4.6678205000000004e-14	0.00004174413	7.9966384e-7	0.00004174413	7.9966384e-7
5.	-2.735610000000001	0.000027534863999999998	4.8493304e-7	1.2517306000000001e-11	1.2430249e-13	1.0728232999999999e-11	1.0653619e-13	0.00006009928300000001	1.0862914e-6	0.00006009928300000001	1.0862914e-6
5.	-2.655410000000001	0.000041285787	8.5882862e-7	2.7868276e-11	2.7674807e-13	2.3885119e-11	2.3719302e-13	0.000086819218	1.8617604e-6	0.000086819218	1.8617604e-6
5.	-2.575210000000001	0.000061813012	1.2399363e-6	6.2156553e-11	5.0730418e-13	5.3272641e-11	4.3479621e-13	0.00012504629	2.5914524000000002e-6	0.00012504629	2.5914524000000002e-6
5.	-2.495010000000001	0.00009249368900000001	1.7969008000000003e-6	1.3846127e-10	1.4792617999999997e-12	1.1867128e-10	1.2678338999999999e-12	0.00017970271	3.6171531000000004e-6	0.00017970271	3.6171531000000004e-6
5.	-2.414810000000001	0.00013695054	2.4190792e-6	3.0869483e-10	2.613866e-12	2.6457370000000004e-10	2.2402714e-12	0.00025500359	4.6893663000000005e-6	0.00025500359	4.6893663000000005e-6
5.	-2.334610000000001	0.00020121910000000002	3.3759537e-6	6.860361900000001e-10	7.779766599999999e-12	5.8798241e-10	6.6678201e-12	0.00035828421	6.252463200000001e-6	0.00035828421	6.252463200000001e-6
5.	-2.254410000000001	0.00030369639	4.048527100000001e-6	1.5400534e-9	2.0206715e-11	1.3199367e-9	1.7318609e-11	0.00051655267	7.125005200000001e-6	0.00051655267	7.125005200000001e-6
5.	-2.174210000000001	0.00044246089	8.2365656e-6	3.3662321e-9	3.0466982e-11	2.8851032999999997e-9	2.6112396999999998e-11	0.0007164423599999999	0.000013936593	0.0007164423599999999	0.000013936593
5.	-2.094010000000001	0.0006602831700000001	7.275988000000001e-6	7.4941154e-9	4.8654199e-11	6.4229965e-9	4.1700152000000006e-11	0.0010163094	0.000011781912000000001	0.0010163094	0.000011781912000000001
5.	-2.0138100000000008	0.0009775130199999999	0.000015072678	1.6694279e-8	1.6047418e-10	1.4308198999999999e-8	1.3753793e-10	0.001426391	0.000023012608000000002	0.001426391	0.000023012608000000002
5.	-1.9336100000000007	0.0014670073	0.000014975434000000002	3.7686385999999995e-8	1.0373772000000001e-10	3.2299946e-8	8.8910694e-11	0.0020223845	0.000021727547	0.0020223845	0.000021727547
5.	-1.8534100000000007	0.0022001599	0.000017254488000000003	8.392707499999999e-8	6.6818229e-10	7.193154599999999e-8	5.7268033e-10	0.0028567704	0.000023607899	0.0028567704	0.000023607899
